,Word,appeal,sentiment,behaviour,mind
0,rate,sentiment,1.0,0.0,0.0
1,town,,,,
2,miss,behaviour,0.0,1.0,0.0
3,friend,,,,
4,people,,,,
5,new,,,,
6,sure,,,,
7,go,behaviour,0.0,1.0,0.0
8,break,behaviour,0.0,1.0,0.0
9,realize,sentiment,1.0,0.0,0.0
10,feel,sentiment,1.0,0.0,0.0
11,rambling,,,,
12,stay,,,,
13,call,mind,0.0,0.0,1.0
14,surround,,,,
15,assume,,,,
16,mom,,,,
17,happen,,,,
18,different,,,,
19,regret,,,,
20,list,,,,
21,guy,,,,
22,get,behaviour,0.0,1.0,0.0
23,leave,mind,0.0,0.0,1.0
24,typing,,,,
25,consider,sentiment,1.0,0.0,0.0
26,child,,,,
27,consciousness,,,,
28,comfortable,,,,
29,certain,,,,
30,tell,mind,0.0,0.0,1.0
31,future,,,,
32,stream,,,,
33,movie,,,,
34,visit,sentiment,1.0,0.0,0.0
35,date,sentiment,1.0,0.0,0.0
36,bother,,,,
37,begin,,,,
38,couple,,,,
39,bed,sentiment,1.0,0.0,0.0
40,decide,,,,
41,experience,behaviour,0.0,1.0,0.0
42,come,,,,
43,hang,,,,
44,class,,,,
45,close,,,,
46,learn,behaviour,0.0,1.0,0.0
47,spend,,,,
48,writing,,,,
49,sound,behaviour,0.0,1.0,0.0
50,thing,,,,
51,reason,,,,
52,hurt,,,,
53,good,,,,
54,watch,behaviour,0.0,1.0,0.0
55,happy,,,,
56,feeling,,,,
57,easy,,,,
58,old,,,,
59,hear,behaviour,0.0,1.0,0.0
60,sleep,sentiment,1.0,0.0,0.0
61,home,,,,
62,parent,,,,
63,roommate,,,,
64,help,,,,
65,meet,behaviour,0.0,1.0,0.0
66,weekend,,,,
67,mean,mind,0.0,0.0,1.0
68,room,,,,
69,assignment,,,,
70,week,,,,
71,fun,,,,
72,night,,,,
73,college,,,,
74,today,,,,
75,little,,,,
76,year,,,,
77,write,behaviour,0.0,1.0,0.0
78,talk,behaviour,0.0,1.0,0.0
79,way,,,,
80,guess,mind,0.0,0.0,1.0
81,lot,,,,
82,day,,,,
83,like,sentiment,1.0,0.0,0.0
84,want,sentiment,1.0,0.0,0.0
85,time,,,,
86,think,mind,0.0,0.0,1.0
87,upload,,,,
88,amused,,,,
89,polo,,,,
90,ready,,,,
91,server,,,,
92,arrange,,,,
93,swimming,,,,
94,ache,,,,
95,bag,,,,
96,release,,,,
97,wind,,,,
98,text,,,,
99,connect,,,,
100,prepare,,,,
101,wash,,,,
102,responsibility,,,,
103,clear,mind,0.0,0.0,1.0
104,thought,,,,
105,assignment,,,,
106,practice,,,,
107,subject,,,,
108,letter,,,,
109,water,,,,
110,conversation,,,,
111,internet,,,,
112,clock,,,,
113,set,behaviour,0.0,1.0,0.0
114,guess,mind,0.0,0.0,1.0
115,day,,,,
116,stress,,,,
117,bed,sentiment,1.0,0.0,0.0
118,sense,sentiment,1.0,0.0,0.0
119,point,,,,
120,book,,,,
121,finish,,,,
122,feel,sentiment,1.0,0.0,0.0
123,word,,,,
124,end,,,,
125,tired,,,,
126,time,,,,
127,have,behaviour,0.0,1.0,0.0
128,take,behaviour,0.0,1.0,0.0
129,read,behaviour,0.0,1.0,0.0
130,mind,sentiment,1.0,0.0,0.0
131,today,,,,
132,little,,,,
133,minute,,,,
134,lot,,,,
135,need,behaviour,0.0,1.0,0.0
136,class,,,,
137,friend,,,,
138,come,,,,
139,get,behaviour,0.0,1.0,0.0
140,country,,,,
141,crash,,,,
142,remember,mind,0.0,0.0,1.0
143,plane,,,,
144,pride,,,,
145,people,,,,
146,backyard,,,,
147,greek,,,,
148,twin,,,,
149,attack,,,,
150,lose,,,,
151,news,,,,
152,watch,behaviour,0.0,1.0,0.0
153,life,,,,
154,tower,,,,
155,pledge,,,,
156,day,,,,
157,today,,,,
158,event,,,,
159,night,,,,
160,reassuring,,,,
161,forgetting,,,,
162,exauste,,,,
163,remembering,,,,
164,sorrow,,,,
165,prioroty,,,,
166,story,,,,
167,unite,,,,
168,overtake,,,,
169,tridelt,,,,
170,awesome,,,,
171,horrific,,,,
172,kill,,,,
173,terrorism,,,,
174,mourning,,,,
175,worship,,,,
176,campus,,,,
177,praise,,,,
178,bark,,,,
179,awe,,,,
180,girl,,,,
181,socialize,,,,
182,flag,,,,
183,dye,,,,
184,second,,,,
185,nation,,,,
186,retreat,,,,
187,participate,,,,
188,shock,,,,
189,helpful,,,,
190,bond,,,,
191,disappoint,,,,
192,occur,,,,
193,risk,,,,
194,creative,,,,
195,overcome,,,,
196,american,,,,
197,daily,,,,
198,chill,,,,
199,stranger,,,,
200,field,,,,
201,term,,,,
202,heat,,,,
203,burn,,,,
204,background,,,,
205,come,,,,
206,process,,,,
207,system,,,,
208,fun,,,,
209,quit,,,,
210,touch,sentiment,1.0,0.0,0.0
211,street,,,,
212,focus,,,,
213,proud,,,,
214,join,,,,
215,save,sentiment,1.0,0.0,0.0
216,fight,,,,
217,amazing,,,,
218,sorority,,,,
219,complete,sentiment,1.0,0.0,0.0
220,number,,,,
221,dog,,,,
222,year,,,,
223,picture,,,,
224,time,,,,
225,one,,,,
226,go,behaviour,0.0,1.0,0.0
227,know,sentiment,1.0,0.0,0.0
228,hold,behaviour,0.0,1.0,0.0
229,think,mind,0.0,0.0,1.0
230,try,sentiment,1.0,0.0,0.0
231,tv,,,,
232,moment,,,,
233,cry,,,,
234,begin,,,,
235,lot,,,,
236,important,,,,
237,matter,behaviour,0.0,1.0,0.0
238,teacher,,,,
239,excited,,,,
240,experience,behaviour,0.0,1.0,0.0
241,eye,,,,
242,house,,,,
243,class,,,,
244,sad,,,,
245,fact,,,,
246,close,,,,
247,get,behaviour,0.0,1.0,0.0
248,feel,sentiment,1.0,0.0,0.0
249,easy,,,,
250,thing,,,,
251,writing,,,,
252,good,,,,
253,turn,behaviour,0.0,1.0,0.0
254,feeling,,,,
255,walk,behaviour,0.0,1.0,0.0
256,call,mind,0.0,0.0,1.0
257,cool,,,,
258,family,,,,
259,happy,,,,
260,old,,,,
261,happen,,,,
262,help,,,,
263,have,behaviour,0.0,1.0,0.0
264,meet,behaviour,0.0,1.0,0.0
265,new,,,,
266,guy,,,,
267,leave,mind,0.0,0.0,1.0
268,love,sentiment,1.0,0.0,0.0
269,look,behaviour,0.0,1.0,0.0
270,hope,sentiment,1.0,0.0,0.0
271,talk,behaviour,0.0,1.0,0.0
272,school,,,,
273,work,behaviour,0.0,1.0,0.0
274,friend,,,,
275,want,sentiment,1.0,0.0,0.0
