STATIVE AND ACTION VERBS,SYNONIMS EXTRAPOLATION REVIEWED,APPEAL TO
fit,habilitate,behaviour
deny,abnegate,mind
have,accept,behaviour
fit,accommodate,behaviour
agree,accord,mind
recognise,accredit,mind
impeach,accuse,behaviour
recognise,acknowledge,mind
learn,acquire,behaviour
realise,actualise,mind
touch,adjoin,sentiment
include,admit,behaviour
adore,adore,sentiment
touch,advert,sentiment
matter,affair,behaviour
impress,affect,mind
touch,affect,sentiment
involve,affect,behaviour
agree,agree,mind
care,aid,sentiment
own,ain,behaviour
like,alike,sentiment
touch,allude,sentiment
astonish,amaze,mind
measure,amount,behaviour
promise,anticipat,mind
appear,appear,mind
look,appear,sentiment
seem,appear,behaviour
value,apprais,sentiment
measure,appraise,behaviour
value,appreciate,sentiment
taste,appreciation,sentiment
appreciate,apprise,sentiment
fit,appropriate,behaviour
grow,arise,behaviour
smell,aroma,sentiment
contain,arrest,behaviour
see,ascertain,sentiment
learn,ascertain,behaviour
need,ask,sentiment
involve,ask,behaviour
look,aspect,sentiment
value,assess,sentiment
measure,assess,behaviour
promise,assure,mind
see,assure,sentiment
astonish,astonish,mind
astonish,astound,mind
look,attend,sentiment
care,attention,sentiment
sound,audio,sentiment
sound,auditory sensation,sentiment
mean,average,mind
look,await,sentiment
mean,awful,mind
talk,babble,behaviour
talk,babble out,behaviour
know,bang,mind
love,bang,sentiment
measure,bar,behaviour
mean,base,mind
run,be given,behaviour
know,be intimate,mind
love,be intimate,sentiment
have,bear,behaviour
mind,bear in mind,sentiment
concern,bear on,mind
touch,bear on,sentiment
touch,bear upon,sentiment
measure,beat,behaviour
go,become,behaviour
know,bed,mind
love,bed,sentiment
think,believe,mind
consist,belong,behaviour
love,beloved,sentiment
look,bet,sentiment
depend,bet,behaviour
mind,beware,sentiment
wish,bid,sentiment
measure,bill,behaviour
have,birth,behaviour
talk,blab,behaviour
forget,blank out,mind
run,bleed,behaviour
go,blend,behaviour
go,blend in,behaviour
forget,block,mind
go,break,behaviour
run,break away,behaviour
go,break down,behaviour
realise,bring in,mind
run,bunk,behaviour
fit,burst,behaviour
forget,bury,mind
go,buy the farm,behaviour
measure,cadence,behaviour
look,calculate,sentiment
depend,calculate,behaviour
promise,call,mind
remember,call back,mind
need,call for,sentiment
involve,call for,behaviour
think,call up,mind
run,campaign,behaviour
concern,care,mind
like,care,sentiment
care,care for,sentiment
contain,carry,behaviour
see,catch,sentiment
have,cause,behaviour
care,caution,sentiment
think,cerebrate,mind
care,charge,sentiment
agree,check,mind
see,check,sentiment
learn,check,behaviour
go,choke,behaviour
prefer,choose,sentiment
realise,clear,mind
think,cogitate,mind
know,cognize,mind
see,come across,sentiment
appear,come along,mind
appear,come out,mind
concern,come to,mind
touch,come to,sentiment
remember,commemorate,mind
remember,commend,mind
like,comparable,sentiment
sound,complete,sentiment
wish,compliments,sentiment
write,compose,behaviour
consist,comprise,behaviour
believe,conceive,mind
imagine,conceive of,mind
concern,concern,mind
care,concern,sentiment
agree,concord,mind
agree,concur,mind
fit,conditioned,behaviour
fit,conform to,behaviour
suppose,conjecture,mind
go,conk,behaviour
go,conk out,behaviour
believe,consider,mind
see,consider,sentiment
consist,consist,behaviour
agree,consort,mind
run,consort,behaviour
see,construe,sentiment
eat,consume,behaviour
touch,contact,sentiment
contain,contain,behaviour
see,control,sentiment
contain,control,behaviour
fit,convulsion,behaviour
agree,correspond,mind
fit,correspond,behaviour
eat,corrode,behaviour
look,count,sentiment
depend,count,behaviour
run,course,behaviour
go,crack,behaviour
impeach,criminate,behaviour
go,croak,behaviour
contain,curb,behaviour
see,date,sentiment
care,deal,sentiment
go,decease,behaviour
please,delight,mind
have,deliver,behaviour
need,demand,sentiment
involve,demand,behaviour
deny,deny,mind
go,depart,behaviour
look,depend,sentiment
depend,depend,behaviour
eat,deplete,behaviour
want,deprivation,sentiment
hope,desire,sentiment
see,determine,sentiment
learn,determine,behaviour
hate,detest,sentiment
grow,develop,behaviour
go,die,behaviour
go,die,behaviour
go,die off,behaviour
go,die out,behaviour
disagree,differ,mind
disagree,disaccord,mind
disagree,disagree,mind
dislike,disapprove,sentiment
recognise,discern,mind
run,discharge,behaviour
disagree,discord,mind
see,discover,sentiment
learn,discover,behaviour
dislike,disfavour,sentiment
dislike,dislike,sentiment
disagree,dissent,mind
recognise,distinguish,mind
touch,disturb,sentiment
know,do it,mind
love,do it,sentiment
doubt,doubt,mind
run,draw,behaviour
go,drop,behaviour
doubt,doubt,mind
consist,dwell,behaviour
realise,earn,mind
eat,eat,behaviour
love,eff,sentiment
sound,effect,sentiment
understand,empathize,mind
see,encounter,sentiment
run,endure,behaviour
love,enjoy,sentiment
see,ensure,sentiment
mean,entail,mind
imagine,envisage,mind
see,envision,sentiment
like,equal,sentiment
fit,equip,behaviour
run,escape,behaviour
see,escort,sentiment
value,esteem,sentiment
value,evaluate,sentiment
measure,evaluate,behaviour
see,examine,sentiment
run,execute,behaviour
eat,exhaust,behaviour
go,exit,behaviour
look,expect,sentiment
know,experience,mind
feel,experience,sentiment
have,experience,behaviour
go,expire,behaviour
look,express,sentiment
go,extend,behaviour
touch,extend to,sentiment
look,face,sentiment
go,fail,behaviour
grow,farm,behaviour
sound,fathom,sentiment
prefer,favour,sentiment
concern,fear,mind
care,fear,sentiment
have,feature,behaviour
eat,feed,behaviour
smell,feel,sentiment
see,figure,sentiment
satisfy,fill,mind
see,find,sentiment
learn,find out,behaviour
agree,fit,mind
sound,fit,sentiment
fit,fit,behaviour
go,fling,behaviour
run,flow,behaviour
run,fly,behaviour
promise,forebode,mind
promise,foretell,mind
forget,forget,mind
satisfy,fulfill,mind
run,function,behaviour
realise,gain,mind
have,get,behaviour
hear,get a line,sentiment
know,get it on,mind
have,give,behaviour
care,give care,sentiment
sound,go,sentiment
go,go,behaviour
satisfy,gratify,mind
recognise,greet,mind
grow,grow,behaviour
suppose,guess,mind
run,guide,behaviour
care,handle,sentiment
agree,harmonize,mind
hate,hate,sentiment
possess,have,behaviour
know,have a go at it,mind
love,have a go at it,sentiment
run,head,behaviour
hear,hear,sentiment
learn,hear,behaviour
mind,heed,sentiment
touch,hint,sentiment
agree,hold,mind
have,hold,behaviour
promise,hope,mind
hope,hope,sentiment
know,hump,mind
love,hump,sentiment
run,hunt,behaviour
suppose,hypothecate,mind
suppose,hypothesize,mind
imagine,ideate,mind
like,ilk,sentiment
see,imagine,sentiment
think,imagine,mind
touch,impact,sentiment
impeach,impeach,behaviour
mean,imply,mind
involve,imply,behaviour
impress,impress,mind
impress,imprint,mind
run,incline,behaviour
include,include,behaviour
contain,incorporate,behaviour
impeach,incriminate,behaviour
write,indite,behaviour
have,induce,behaviour
understand,infer,mind
have,ingest,behaviour
impress,ingrain,mind
impress,instill,mind
learn,instruct,behaviour
see,insure,sentiment
mean,intend,mind
concern,interest,mind
understand,interpret,mind
see,interpret,sentiment
read,interpret,behaviour
need,involve,sentiment
involve,involve,behaviour
matter,issue,behaviour
agree,jibe,mind
fit,jibe,behaviour
mind,judge,sentiment
recognise,know,mind
love,know,sentiment
want,lack,sentiment
lack,lack,behaviour
run,ladder,behaviour
run,lam,behaviour
go,last,behaviour
run,lead,behaviour
run,lean,behaviour
hear,learn,sentiment
learn,learn,behaviour
forget,leave,mind
talk,lecture,behaviour
sound,legalize,sentiment
have,let,behaviour
consist,lie,behaviour
know,lie with,mind
wish,like,sentiment
mind,listen,sentiment
know,live,mind
go,live,behaviour
go,locomote,behaviour
appear,look,mind
smell,look,sentiment
depend,look,behaviour
know,love,mind
love,love,sentiment
care,maintain,sentiment
realise,make,mind
have,make,behaviour
care,manage,sentiment
agree,match,mind
touch,match,sentiment
fit,match,behaviour
matter,matter,behaviour
grow,maturate,behaviour
grow,mature,behaviour
think,mean,mind
value,measure,sentiment
measure,measure,behaviour
satisfy,meet,mind
see,meet,sentiment
fit,meet,behaviour
run,melt,behaviour
learn,memorize,behaviour
mind,mind,sentiment
lack,miss,behaviour
contain,moderate,behaviour
need,motive,sentiment
impress,move,mind
run,move,behaviour
need,necessitate,sentiment
involve,necessitate,behaviour
need,need,sentiment
involve,need,behaviour
mean,normalize,mind
concern,occupy,mind
go,offer,behaviour
go,operate,behaviour
suppose,opine,mind
prefer,opt,sentiment
grow,originate,behaviour
fit,outfit,behaviour
run,outpour,behaviour
owe,owe,behaviour
feel,palpate,sentiment
touch,partake,sentiment
go,pass,behaviour
go,perish,behaviour
run,persist,behaviour
concern,pertain,mind
touch,pertain,sentiment
sound,phone,sentiment
recognise,pick out,mind
see,pick up,sentiment
learn,pick up,behaviour
touch,pinch,sentiment
run,play,behaviour
please,please,mind
go,plump,behaviour
go,pop off,behaviour
have,possess,behaviour
need,postulate,sentiment
involve,postulate,behaviour
promise,predict,mind
prefer,prefer,sentiment
suppose,presuppose,mind
run,prevail,behaviour
impress,print,mind
value,prise,sentiment
appreciate,prize,sentiment
go,proceed,behaviour
grow,produce,behaviour
promise,prognosticate,mind
see,project,sentiment
promise,promise,mind
hope,promise,sentiment
talk,lecture,behaviour
write,publish,behaviour
realise,pull in,mind
measure,quantify,behaviour
doubt,question,mind
run,race,behaviour
grow,raise,behaviour
run,range,behaviour
value,rate,sentiment
run,ravel,behaviour
touch,reach,sentiment
understand,read,mind
learn,read,behaviour
recognise,realise,mind
see,realise,sentiment
see,realize,sentiment
think,recall,mind
have,receive,behaviour
think,reckon,mind
look,reckon,sentiment
depend,reckon,behaviour
know,recognise,mind
realise,recognize,mind
remember,recollect,mind
read,record,behaviour
concern,refer,mind
touch,refer,sentiment
deny,refuse,mind
wish,regard,sentiment
involve,regard,behaviour
read,register,behaviour
concern,relate,mind
touch,relate,sentiment
remember,remember,mind
want,require,sentiment
involve,require,behaviour
value,respect,sentiment
remember,retrieve,mind
appreciate,revalue,sentiment
run,roll,behaviour
grow,rise,behaviour
touch,rival,sentiment
run,run,behaviour
see,run into,sentiment
go,run low,behaviour
sound,save,sentiment
taste,sample,sentiment
satisfy,satisfy,mind
taste,savor,sentiment
suppose,say,mind
read,say,behaviour
read,scan,behaviour
run,scarper,behaviour
run,scat,behaviour
know,screw,mind
love,screw,sentiment
look,search,sentiment
sound,secure,sentiment
understand,see,mind
look,see,sentiment
learn,see,behaviour
appear,seem,mind
look,seem,sentiment
seem,seem,behaviour
feel,sense,sentiment
fit,set,behaviour
read,show,behaviour
touch,sign,sentiment
mean,signify,mind
talk,sing,behaviour
know,sleep,mind
love,sleep,sentiment
taste,smack,sentiment
smell,smell,sentiment
go,snuff,behaviour
sound,sound,sentiment
fit,sound,behaviour
talk,speak,behaviour
touch,speck,sentiment
suppose,speculate,mind
write,spell,behaviour
talk,spill,behaviour
smell,spirit,sentiment
touch,spot,sentiment
grow,spring,behaviour
go,start,behaviour
measure,step,behaviour
have,stimulate,behaviour
touch,stir,sentiment
contain,stop,behaviour
surprise,storm,mind
sound,strait,sentiment
run,streak,behaviour
impress,strike,mind
learn,study,behaviour
realise,substantiate,mind
have,suffer,behaviour
become,suit,behaviour
think,suppose,mind
surprise,surprise,mind
go,survive,behaviour
have,sustain,behaviour
understand,sympathise,mind
understand,sympathize,mind
need,take,sentiment
have,take,behaviour
realise,take in,mind
talk,talk,behaviour
agree,tall,mind
taste,taste,sentiment
talk,tattle,behaviour
learn,teach,behaviour
recognise,tell,mind
run,tend,behaviour
run,test,behaviour
suppose,theorise,mind
suppose,theorize,mind
believe,think,mind
have,throw,behaviour
mean,tight,mind
touch,tinge,sentiment
feel,tone,sentiment
matter,topic,behaviour
concern,touch,mind
touch,touch,sentiment
go,tour,behaviour
touch,trace,sentiment
run,track,behaviour
understand,translate,mind
read,translate,behaviour
go,travel,behaviour
deny,traverse,mind
run,try,behaviour
believe,trust,mind
desire,trust,sentiment
taste,try,sentiment
go,turn,behaviour
see,undergo,sentiment
have,undergo,behaviour
understand,understand,mind
see,understand,sentiment
read,understand,behaviour
run,unravel,behaviour
care,upkeep,sentiment
grow,uprise,behaviour
eat,use,behaviour
talk,utter,behaviour
sound,validate,sentiment
value,valuate,sentiment
measure,valuate,behaviour
talk,verbalise,behaviour
talk,verbalize,behaviour
see,view,sentiment
see,visit,sentiment
see,visualise,sentiment
see,visualize,sentiment
sound,vocalise,sentiment
sound,vocalize,sentiment
sound,voice,sentiment
look,wait,sentiment
walk,walk,behaviour
walk,walkaway,behaviour
want,want,sentiment
see,watch,sentiment
learn,watch,behaviour
matter,weigh,behaviour
go,whirl,behaviour
wish,will,sentiment
eat,wipe out,behaviour
wish,wish,sentiment
see,witness,sentiment
run,work,behaviour
concern,worry,mind
care,worry,sentiment
write,write,behaviour